1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
32 30 -37 -28 -14 -21 -22 -1 -1 27 25 -33 -40 3 -1 -1 -38 33 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
6 3 -1 -6 -6 -2 -5 28 36 7 5 -7 -5 7 -1 -1 -4 -1 39 -1 -1 -1 -1 -14 -1 -1 -1 -1 -1 -1
12 6 -7 -12 -12 -4 -10 7 3 14 10 -14 -1 14 -1 -1 -1 -1 -1 35 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
18 9 -14 -18 -18 -6 -15 -1 6 21 15 -1 -10 21 31 -1 -1 -1 -1 3 28 -1 -47 -4 -1 -1 -1 -1 -1 -1
24 12 -21 -24 -24 -8 -20 14 -1 28 20 -21 -15 -1 -1 19 -1 -1 -1 -1 8 -1 -1 -8 -1 -1 -1 -1 -1 -1
30 15 -28 -1 -30 -10 -25 21 9 35 25 -28 -20 -1 -1 7 -8 -1 1 6 -1 -8 -1 -1 -1 -1 -1 -1 -1 -1
36 18 -35 -30 -1 -12 -30 28 12 -1 30 -35 -25 28 -1 14 -1 -1 -1 -1 16 -1 -8 -1 -1 -1 -1 -1 -1 -1
42 21 -42 -1 -36 -14 -35 -1 -1 42 35 -42 -30 35 9 21 -12 -1 2 -1 24 -9 -1 -1 -1 -1 -1 -1 -1 -1
48 24 -49 -36 -42 -16 -40 35 -1 -1 40 -1 -35 -1 -1 28 -1 3 3 -1 32 -18 -16 -1 -1 -1 -1 -1 -1 -1
54 27 -56 -42 -48 -18 -1 42 15 49 45 -1 -40 42 18 -1 -16 6 -1 -1 40 -1 -1 -12 -35 21 -1 -1 -1 -1
60 30 -63 -48 -54 -20 -45 49 -1 56 50 -49 -1 49 -1 35 -20 -1 4 9 48 -27 -1 -1 -1 -1 -1 -1 -1 -1
66 33 -70 -54 -60 -22 -50 56 18 -1 55 -1 -1 -1 27 -1 -1 9 -1 -1 -1 -1 -1 -1 -1 -1 -37 -1 -1 -1
72 36 -77 -60 -66 -1 -55 63 21 63 60 -56 -45 -1 -1 -1 -24 12 -1 -1 -1 -36 -1 -1 -1 -1 -3 34 -1 -1
78 39 -84 -66 -1 -24 -60 70 -1 70 -1 -63 -50 -1 36 -1 -1 15 5 12 56 -1 -1 -1 -1 -1 -1 -1 -1 19
84 42 -91 -72 -72 -26 -1 77 24 77 65 -70 -55 56 45 -1 -28 18 -1 15 64 -1 -24 -1 -2 -1 -1 -1 -1 -1
90 45 -98 -78 -78 -28 -65 84 27 84 -1 -77 -60 63 54 42 -32 -1 6 18 -1 -45 -1 -1 -1 -1 -1 -1 -1 -1
96 48 -105 -84 -84 -30 -70 91 -1 91 70 -1 -1 70 63 -1 -36 -1 -1 -1 -1 -1 -1 -16 -1 -1 -1 -1 -1 -1
102 51 -112 -90 -90 -32 -1 98 30 98 75 -84 -65 -1 72 49 -1 21 -1 -1 72 -1 -1 -20 -1 -1 -6 -1 -10 -1
108 54 -119 -96 -96 -34 -75 105 33 105 80 -91 -1 -1 81 -1 -40 24 -1 -1 -1 -1 -1 -24 -1 -1 -1 -1 -1 -1
114 57 -1 -1 -102 -36 -80 112 36 112 85 -98 -1 77 -1 -1 -44 -1 7 -1 80 -1 -32 -1 -1 -1 -1 2 -1 -1
120 60 -126 -102 -108 -38 -1 119 -1 119 90 -1 -70 84 -1 -1 -1 27 -1 -1 88 -1 -1 -1 -1 -1 -1 -1 -1 -1
126 63 -133 -108 -114 -40 -85 126 39 126 95 -1 -1 91 90 -1 -1 30 8 -1 96 -1 -1 -28 -1 -1 -1 -1 -1 -1
132 -1 -140 -114 -120 -42 -90 -1 42 133 100 -105 -1 98 -1 -1 -48 -1 -1 -1 -1 -54 -1 -1 -1 -1 -1 4 -1 -1
138 66 -1 -120 -126 -1 -95 133 -1 140 105 -112 -75 105 99 -1 -52 -1 -1 21 104 -1 -1 -32 -1 -1 -1 -1 -1 9
144 69 -147 -126 -132 -44 -100 140 45 147 -1 -119 -1 -1 108 56 -1 -1 -1 24 112 -1 -1 -36 -1 -1 -1 -1 -1 -1
150 72 -154 -132 -138 -46 -1 147 -1 -1 110 -126 -80 112 117 63 -56 33 -1 -1 120 -1 -40 -1 -1 -1 -1 -1 -1 18
156 75 -161 -138 -144 -48 -105 154 -1 154 -1 -1 -1 -1 -1 70 -60 -1 9 27 -1 -1 -1 -1 -3 -1 -9 -1 -1 -1
162 78 -168 -1 -150 -1 -110 161 48 -1 -1 -1 -1 119 -1 -1 -64 36 10 30 -1 -1 -48 -1 -1 -1 -1 -1 -1 -1
168 81 -175 -144 -156 -50 -115 168 -1 -1 115 -133 -85 126 126 77 -68 -1 -1 -1 128 -1 -1 -1 -1 -1 -1 -1 -1 -1
174 84 -182 -150 -162 -52 -1 175 -1 161 -1 -140 -90 133 -1 84 -1 39 -1 33 136 -1 -1 -1 -1 -1 -12 -1 -1 -1
180 87 -189 -156 -1 -54 -120 182 -1 168 120 -1 -95 -1 -1 91 -72 -1 11 36 -1 -1 -1 -1 -4 -1 -15 -1 -1 -1
186 90 -196 -162 -168 -56 -125 189 51 -1 125 -147 -100 140 -1 -1 -76 42 -1 39 144 -1 -1 -1 -1 -1 -18 6 -1 -1
192 93 -203 -168 -174 -58 -130 196 54 175 -1 -154 -105 -1 -1 98 -1 -1 -1 -1 -1 -1 -1 -1 -5 -1 -21 8 -1 -1
198 96 -1 -174 -1 -60 -135 -1 57 182 130 -1 -110 147 135 -1 -1 45 12 42 -1 -63 -1 -1 -1 -1 -1 -1 -1 -1
204 99 -210 -180 -180 -62 -1 -1 60 -1 135 -161 -115 154 144 -1 -80 -1 -1 -1 -1 -72 -1 -1 -1 9 -1 -1 -2 -1
210 102 -217 -186 -186 -64 -140 -1 -1 189 140 -168 -120 -1 153 105 -84 -1 -1 -1 152 -1 -1 -40 -1 -1 -1 -1 -1 -1
216 105 -224 -192 -192 -66 -145 203 63 196 -1 -175 -125 -1 162 112 -88 48 13 -1 160 -1 -1 -1 -6 -1 -1 -1 -1 -1
