1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50
0 7 0 -4 -26 7 -31 -10 2 6 -4 -27 -19 9 -1 -1 -1 -1 -2 18 35 -49 -1 49 -1 -1 -1 -39 -1 -1 -1 42 -1 47 -1 -1 25 -1 -1 -1 -1 -1 -1 -1 -1 -41 -1 -1 -1 -1
-9 4 -7 -2 -3 3 -9 -1 -1 1 -7 -1 -1 6 4 29 -1 -7 -3 2 9 -5 -1 -1 29 -8 -1 -1 -1 -1 -30 4 -1 0 -1 -1 -1 -1 -1 -19 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-18 8 -1 -4 -6 6 -18 -2 4 2 -14 -2 -5 12 2 -1 -1 -4 -6 -1 -1 -10 -1 1 -1 -5 44 -9 -20 -1 -1 -1 -1 -1 -1 0 3 -1 48 -1 -30 -1 -1 -1 -1 -4 -1 -1 -1 -1
-27 12 -14 -6 -1 -1 -27 -3 8 3 -21 -3 -10 18 4 3 -43 -8 -9 -1 -1 -1 -1 -1 1 -10 -1 -1 -6 3 -1 -1 -1 -1 -1 -2 -1 -1 -1 -1 -6 -1 -1 -1 -1 -1 -1 -1 -1 -1
-36 16 -21 -8 -9 9 -1 -4 12 4 -28 -4 -15 -1 6 6 -1 -1 -12 4 18 -15 -18 2 2 -15 1 -1 -12 0 -3 -1 -1 -1 -1 -4 -1 -1 -1 -1 -12 -1 -1 -1 -1 -8 -1 -1 -1 -1
-45 20 -28 -10 -12 12 -1 -5 16 5 -35 -5 -20 24 8 9 -7 -12 -1 6 -1 -20 -1 -1 3 -1 2 -1 -18 -1 -6 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-54 24 -35 -12 -15 15 -36 -6 20 6 -42 -6 -25 30 10 12 -1 -16 -15 -1 27 -1 -7 3 -1 -20 3 -1 -1 -1 -1 8 -1 0 -1 -1 -1 -1 0 -1 -18 3 -1 26 -1 -1 -33 -1 -1 -1
-63 28 -42 -14 -18 -1 -45 -7 24 7 -49 -7 -1 36 12 15 -1 -1 -18 8 36 -25 -14 4 -1 -25 -1 -1 -1 -1 -9 -1 -43 0 27 -1 -1 1 -1 -7 -1 -1 -1 -1 34 -1 -1 -1 -1 -1
-72 32 -49 -16 -21 18 -54 -8 28 -1 -56 -1 -30 -1 14 18 -14 -20 -21 -1 45 -30 -21 -1 -1 -1 4 -1 -1 0 -1 -1 -1 0 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-81 36 -56 -18 -24 21 -1 -9 32 8 -63 -8 -1 -1 16 -1 -21 -24 -1 -1 54 -1 -28 -1 4 -30 5 -1 -24 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 -1 -1 -9 -1 -1 -1
