1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100
-36 -29 45 19 14 2 23 -43 25 -48 33 -13 -39 -32 -42 25 -24 -27 17 -2 11 0 26 15 0 -8 6 26 32 -48 0 0 21 11 36 0 20 0 0 0 24 11 0 36 0 0 0 14 12 0 0 0 -10 0 0 38 0 0 0 0 0 0 0 47 0 44 -14 0 33 0 14 0 -24 0 0 0 18 0 0 0 0 -39 0 0 13 0 0 0 0 0 0 -33 0 0 0 0 0 0 0 0
-4 -7 3 9 1 7 5 -6 1 -7 0 -2 -7 -5 -7 1 -7 -7 0 -8 2 -46 1 0 0 -8 0 5 1 -2 34 28 9 1 4 29 4 -23 41 0 5 6 15 0 0 -36 0 0 9 38 0 0 -4 10 0 0 -45 0 0 0 0 0 34 0 0 1 0 0 0 31 0 22 0 0 10 0 0 0 0 0 13 0 0 0 0 0 40 0 17 0 0 0 0 0 0 0 0 0 0 0
-8 -14 6 18 2 14 10 -12 2 -14 9 -4 -14 0 -14 0 0 -14 0 -16 4 0 0 0 46 0 0 10 0 -4 0 5 18 2 0 0 8 -8 7 44 0 0 0 9 0 0 0 9 0 0 20 -28 -8 5 49 0 0 34 0 12 0 0 0 0 38 2 0 0 0 0 0 1 -4 -26 0 0 0 0 0 0 9 0 0 0 0 -40 9 0 0 0 0 0 0 0 0 0 0 0 0 0
-12 -21 9 27 3 21 15 -18 3 -21 18 0 -21 -10 -21 2 -14 0 0 -24 6 -2 2 0 6 -16 0 15 2 -6 0 10 27 0 0 0 12 0 0 0 10 12 0 0 15 0 0 0 0 4 6 0 -12 10 0 1 0 3 0 0 0 -32 0 0 0 3 0 31 3 0 0 0 -8 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-16 -28 12 36 4 0 20 -24 4 -28 27 -6 -28 -15 -28 3 -21 -21 0 -32 8 0 0 0 0 -24 0 0 3 -8 0 15 36 3 0 0 0 -16 14 0 0 0 0 0 1 0 0 18 0 8 0 0 -16 0 0 0 -4 0 0 0 0 0 0 0 1 4 0 0 6 0 0 0 0 0 0 0 0 0 0 -37 18 0 0 -49 10 0 18 0 0 0 0 0 0 0 0 0 0 0 0 0
-20 -35 0 45 5 28 0 -30 0 -35 36 -8 -35 -20 -35 4 -28 -28 0 -40 10 -3 3 0 12 -32 0 20 4 -10 0 20 0 4 0 0 16 -24 21 0 0 18 0 0 0 0 32 0 0 0 12 0 0 15 0 0 0 6 0 0 -47 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 30 0 0 27 0 0 0 0 0 0 0 0 48 0 0 0 0 0 0 0 0 0 0
-24 -42 15 54 6 35 25 -36 5 -42 45 -10 0 -25 -42 5 -35 -35 0 -48 12 -4 0 0 18 -40 0 25 0 0 0 0 45 5 8 7 20 0 0 0 15 0 0 18 0 -5 0 0 18 12 18 0 0 0 0 0 -8 0 18 0 0 0 0 0 2 0 0 0 9 0 0 2 -12 -5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-28 -49 18 63 0 42 0 -42 6 -49 54 -12 -42 -30 -49 6 -42 -42 0 0 14 -5 0 0 24 0 0 0 5 -12 0 25 54 0 12 0 24 -32 28 0 20 24 0 27 2 0 0 0 0 0 0 0 0 0 0 0 0 9 2 0 -9 0 0 0 3 5 0 0 12 0 0 3 0 -10 0 38 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 0 0 0 0 0 0
-32 -56 21 72 7 49 30 -48 7 -56 63 -14 -49 -35 -56 7 -49 -49 0 -56 0 0 4 0 0 0 0 30 0 -14 0 30 63 6 16 0 28 -40 35 0 25 0 0 36 3 -10 0 27 27 0 0 -4 0 0 0 2 0 0 0 0 0 0 0 2 0 0 -8 0 15 0 0 0 -16 0 0 0 0 0 0 0 0 0 0 -4 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0
-36 -63 24 81 8 56 35 -54 0 -63 72 0 -56 -40 -63 8 -56 -56 0 -64 0 0 0 0 30 0 0 35 6 -16 0 0 0 0 0 14 0 -48 42 0 30 30 0 45 0 -15 0 0 0 0 0 -8 -20 0 0 3 -12 12 4 0 0 0 0 3 4 0 0 0 0 9 0 0 0 0 0 0 0 4 0 -8 0 0 0 0 0 0 0 0 0 0 0 -4 0 0 0 0 0 0 0 0
-40 -70 27 90 9 63 40 0 8 -70 81 -16 -63 -45 -70 9 -63 0 0 -72 16 -6 5 0 36 -48 0 0 7 -18 0 0 72 7 0 0 32 0 49 0 0 36 0 54 4 -20 0 36 36 0 0 -12 0 20 0 4 -16 0 0 0 -18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 35 0 0 0 0 0 0 0
-44 -77 30 99 10 70 45 -60 0 -77 90 0 -70 -50 -77 10 -70 0 0 -80 0 -7 0 0 0 -56 0 40 0 -20 0 35 81 8 20 0 0 0 56 0 35 42 0 63 5 0 0 0 0 16 0 0 -24 25 0 5 -20 15 0 0 0 0 0 4 0 0 0 3 0 18 0 4 -20 0 0 0 0 0 0 -16 0 0 0 0 0 0 27 0 0 0 0 0 0 0 0 0 0 0 0 0
-48 -84 33 108 11 77 50 -66 9 -84 99 -18 -77 -55 -84 0 -77 -63 0 -88 18 -8 6 0 42 -64 0 45 0 -22 0 40 0 9 24 0 36 -56 63 0 40 48 0 0 0 -25 0 45 0 20 0 0 -28 0 0 6 -24 18 6 0 -27 0 0 5 5 0 0 6 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 -31 0 0 0 -8 0 0 0 0 0 0 0 0
-52 -91 36 117 12 84 55 -72 10 -91 108 -20 -84 -60 0 11 0 -70 0 0 20 -9 7 0 48 0 0 50 8 -24 0 45 90 10 28 0 40 0 70 0 45 54 0 0 6 0 0 0 45 0 24 -16 -32 0 0 7 -28 0 0 0 0 0 0 6 0 6 0 0 0 0 0 0 0 -15 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0
