1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150
9 19 16 31 12 25 -34 -24 -6 -30 41 39 -34 30 41 43 -2 -1 -29 8 25 -27 -42 0 35 -23 -38 27 42 -22 -48 -1 -10 28 40 -45 19 -14 -21 -32 -5 33 -2 -10 14 -7 -43 -47 -1 24 40 -1 11 -22 -32 -15 -31 -1 23 -1 -23 -31 -1 -1 -1 -43 -1 9 -8 -1 -7 -1 -19 -1 -17 -30 -1 -25 -1 -1 -1 -8 -1 17 -1 -11 -1 -7 -1 -1 -1 -3 -14 -1 -15 -1 -13 -1 -1 -23 -14 -1 -32 34 28 -1 -10 -1 -1 -1 -1 -1 29 -1 -1 -46 -1 -29 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -30 -1 -1 -1
3 3 9 8 3 8 -4 -3 -7 -8 0 6 -7 9 9 5 -6 -38 -3 7 2 -6 -1 -1 1 -7 -7 9 6 -7 -3 12 -1 0 5 -1 6 -4 -9 -7 -1 6 -1 -9 2 -8 -6 -3 -1 3 5 -48 3 -1 -6 -5 -8 -1 4 -1 -1 -1 19 -1 -1 -1 -1 5 -2 49 -2 -1 -1 -1 -8 -1 -8 -1 -17 -1 34 -5 -1 -1 -1 -1 -37 -1 19 0 25 -1 -1 -1 -4 14 -1 -1 -40 -2 -1 -1 -4 -1 -1 -1 -1 -45 -1 -1 10 -1 -1 -1 -1 -1 -1 -8 -1 -1 -1 -1 -1 -1 -1 -9 -1 -1 -29 -1 -1 -1 38 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 42 -1 -1 -1 -1 -1 -1
6 6 18 16 -1 16 -8 -6 -14 -16 0 12 -14 18 18 10 -1 -9 -6 14 4 -12 -1 -1 2 -14 -14 18 -1 -14 -6 7 -7 0 10 -8 12 -8 -18 -1 -9 -1 -7 -18 4 -16 -1 -6 -1 6 -1 -2 6 -1 -12 -1 -16 -19 8 -1 -7 -9 0 20 -1 -7 37 -1 -1 -1 -4 -1 -8 -27 -1 -1 -5 -3 -1 -1 -1 -10 -1 7 43 -9 -9 -1 4 9 -1 -1 -5 13 -8 0 -9 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 45 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -20 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
9 9 27 24 6 -1 -12 -9 -21 -24 0 18 -21 27 -1 15 -12 -18 -9 21 6 -18 -9 -2 3 -21 -21 27 -1 -21 -1 14 -14 0 15 -16 18 -1 -27 -1 -18 12 -14 -1 6 -1 -12 -1 24 -1 10 -4 -1 -2 -1 -10 -1 -8 12 3 -1 -1 0 2 -1 -14 -1 10 -4 -1 -1 -24 -16 -1 -16 -2 -10 -1 -1 -1 4 -15 -1 14 -1 -18 -1 -1 -1 18 -1 -5 -1 0 -1 0 -18 -1 -7 -1 -1 -1 -1 -1 -1 -1 -1 -3 -1 -42 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 15 -1 -1 -1 -1 -1 25 -1 -1 -1 -1 -1 -1 -1 -1 -1 30 -1 -1 -1 -1 -21 -1 -1 -1 -1 -1 -1 -1
12 12 36 32 9 24 -16 -12 -28 -32 0 24 -28 36 27 20 -18 -27 -1 28 -1 -1 -18 -3 4 -28 -1 36 12 -28 -9 -1 -21 0 20 -24 -1 -12 -36 -14 -27 18 -21 -27 8 -1 -18 -1 8 9 15 -6 9 -3 -1 -15 -24 -1 16 0 -1 -1 0 4 41 -1 -1 15 -1 -1 -1 -1 -1 -8 -24 -1 -1 -1 -1 35 8 -20 -1 21 8 -1 -18 -1 -1 -1 -1 -1 -1 -1 -12 -1 -1 6 -14 -1 -1 -1 -1 3 -1 -7 -1 -1 -1 -1 -1 37 -1 -1 -1 -1 -1 -16 -1 -1 -1 -1 -1 -1 46 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 33 -1 -1 -1 -1 -1 -1 -1 -1 -1
15 15 45 40 12 32 -20 -15 -35 -40 -1 -1 -1 45 36 25 -24 -36 -12 35 -1 -24 -27 -4 5 -35 -28 45 18 -35 -12 21 -28 0 25 -32 24 -1 -45 -21 -36 24 -28 -36 10 -24 -24 -9 -1 -1 20 -1 -1 -4 -18 -1 -32 -16 20 -1 -14 -18 -1 -1 2 -21 -1 -1 -6 -1 -6 -1 -1 -1 -1 -4 -1 -1 -1 -1 12 -1 30 28 -1 -1 -1 -4 -1 -1 -1 -1 -10 -1 -1 -1 -1 -1 -21 -1 -7 -1 -8 -1 -1 -1 -1 -1 31 -1 -1 6 -1 -1 -1 -2 -1 -24 -33 -1 -1 -1 5 -1 2 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
18 18 54 48 15 40 -24 -18 -42 -48 0 30 -35 54 45 -1 -30 -45 -15 42 8 -30 -36 -5 -1 -42 -35 54 24 -42 -15 28 -1 0 30 -40 30 -16 -54 -28 -45 30 -35 -45 12 -1 -1 -12 -1 -1 25 -1 12 -1 -24 -20 -1 -24 24 0 -1 -27 0 6 4 -1 -1 20 -8 0 -8 -1 -1 -1 -1 -6 -15 -6 -1 6 16 -25 0 35 16 -1 -27 -1 -1 -1 0 -10 -15 0 -1 0 -27 9 -1 -4 -14 15 -1 -1 -1 -1 -1 -1 -1 -1 -1 12 9 7 -1 -1 -1 -32 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
21 21 63 56 18 48 -28 -21 -49 -56 0 36 -42 63 54 30 -36 -54 -18 49 10 -36 -45 -6 6 -49 -1 -1 30 -49 -1 35 -35 0 35 -48 -1 -20 -63 -35 -54 36 -1 -54 -1 -1 -1 -15 -1 -1 30 -8 15 -1 -30 -1 -40 -1 28 0 -21 -36 -1 8 6 -28 7 -1 -10 0 -1 -1 -1 -1 -32 -1 -20 -1 -2 -1 20 -30 -1 42 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -16 0 -1 18 -28 -1 -21 7 -12 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 -1 -29 -1 -4 -1 -1 -1 -1 -1 -1 4 -1 15 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
24 24 72 64 21 56 -32 -24 -56 -64 0 42 -49 72 63 35 -42 -63 -21 56 -1 -1 -54 -7 7 -56 -42 -1 36 -56 -18 42 -42 0 40 -56 36 -24 -72 -1 -1 42 -42 -1 14 -1 -30 -18 16 -1 -1 -10 18 -5 -36 -1 -1 -32 -1 -1 -1 -45 0 10 -1 -35 -1 -1 -1 0 -1 -1 -24 -16 -40 -1 -1 -9 -1 12 -1 -35 -1 -1 -1 -1 -1 -8 8 27 -1 -1 -20 0 -20 -1 -36 -1 -35 -1 -1 -1 -16 -1 -1 -1 -5 -1 -1 -1 -1 -1 -1 -1 -1 -1 24 -1 -1 -1 -1 -1 -1 -1 -1 -1 6 -1 -1 -1 -30 -33 -1 -1 9 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
27 27 81 72 24 64 -36 -27 -63 -72 0 48 -56 81 72 40 -48 -72 -24 63 12 -1 -63 -8 8 -63 -49 63 42 -63 -21 49 -49 0 45 -64 42 -28 -81 -42 -63 48 -49 -63 16 -32 -36 -1 -1 12 35 -1 21 -6 -1 -25 -1 -40 32 0 -1 -54 0 12 -1 -1 -1 25 -1 0 -1 -1 -1 -24 -48 -8 -1 -12 -1 -1 24 -1 0 49 -1 -1 -36 -12 -1 -1 -1 -1 -25 -1 -1 -1 -45 27 -1 -1 -28 -1 -20 -1 9 -14 -10 -1 -1 -1 -1 -1 -1 -1 -24 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 47 -1 -1 -1 -1 -1 -1 -1 -1
