1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150
9 19 16 31 12 25 -34 -24 -6 -30 41 39 -34 30 41 43 -2 0 -29 8 25 -27 -42 0 35 -23 -38 27 42 -22 -48 0 -10 28 40 -45 19 -14 -21 -32 -5 33 -2 -10 14 -7 -43 -47 0 24 40 0 11 -22 -32 -15 -31 0 23 0 -23 -31 0 0 0 -43 0 9 -8 0 -7 0 -19 0 -17 -30 0 -25 0 0 0 -8 0 17 0 -11 0 -7 0 0 0 -3 -14 0 -15 0 -13 0 0 -23 -14 0 -32 34 28 0 -10 0 0 0 0 0 29 0 0 -46 0 -29 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -30 0 0 0
3 3 9 8 3 8 -4 -3 -7 -8 0 6 -7 9 9 5 -6 -38 -3 7 2 -6 0 0 1 -7 -7 9 6 -7 -3 12 0 0 5 0 6 -4 -9 -7 0 6 0 -9 2 -8 -6 -3 0 3 5 -48 3 0 -6 -5 -8 0 4 0 0 0 19 0 0 0 0 5 -2 49 -2 0 0 0 -8 0 -8 0 -17 0 34 -5 0 0 0 0 -37 0 19 0 25 0 0 0 -4 14 0 0 -40 -2 0 0 -4 0 0 0 0 -45 0 0 10 0 0 0 0 0 0 -8 0 0 0 0 0 0 0 -9 0 0 -29 0 0 0 38 0 0 0 0 0 0 0 0 0 0 42 0 0 0 0 0 0
6 6 18 16 0 16 -8 -6 -14 -16 0 12 -14 18 18 10 0 -9 -6 14 4 -12 0 0 2 -14 -14 18 0 -14 -6 7 -7 0 10 -8 12 -8 -18 0 -9 0 -7 -18 4 -16 0 -6 0 6 0 -2 6 0 -12 0 -16 -19 8 0 -7 -9 0 20 0 -7 37 0 0 0 -4 0 -8 -27 0 0 -5 -3 0 0 0 -10 0 7 43 -9 -9 0 4 9 0 0 -5 13 -8 0 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 45 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
9 9 27 24 6 0 -12 -9 -21 -24 0 18 -21 27 0 15 -12 -18 -9 21 6 -18 -9 -2 3 -21 -21 27 0 -21 0 14 -14 0 15 -16 18 0 -27 0 -18 12 -14 0 6 0 -12 0 24 0 10 -4 0 -2 0 -10 0 -8 12 3 0 0 0 2 0 -14 0 10 -4 0 0 -24 -16 0 -16 -2 -10 0 0 0 4 -15 0 14 0 -18 0 0 0 18 0 -5 0 0 0 0 -18 0 -7 0 0 0 0 0 0 0 0 -3 0 -42 0 0 0 0 0 0 0 0 0 0 0 15 0 0 0 0 0 25 0 0 0 0 0 0 0 0 0 30 0 0 0 0 -21 0 0 0 0 0 0 0
12 12 36 32 9 24 -16 -12 -28 -32 0 24 -28 36 27 20 -18 -27 0 28 0 0 -18 -3 4 -28 0 36 12 -28 -9 0 -21 0 20 -24 0 -12 -36 -14 -27 18 -21 -27 8 0 -18 0 8 9 15 -6 9 -3 0 -15 -24 0 16 0 0 0 0 4 41 0 0 15 0 0 0 0 0 -8 -24 0 0 0 0 35 8 -20 0 21 8 0 -18 0 0 0 0 0 0 0 -12 0 0 6 -14 0 0 0 0 3 0 -7 0 0 0 0 0 37 0 0 0 0 0 -16 0 0 0 0 0 0 46 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 33 0 0 0 0 0 0 0 0 0
15 15 45 40 12 32 -20 -15 -35 -40 0 0 0 45 36 25 -24 -36 -12 35 0 -24 -27 -4 5 -35 -28 45 18 -35 -12 21 -28 0 25 -32 24 0 -45 -21 -36 24 -28 -36 10 -24 -24 -9 0 0 20 0 0 -4 -18 0 -32 -16 20 0 -14 -18 0 0 2 -21 0 0 -6 0 -6 0 0 0 0 -4 0 0 0 0 12 0 30 28 0 0 0 -4 0 0 0 0 -10 0 0 0 0 0 -21 0 -7 0 -8 0 0 0 0 0 31 0 0 6 0 0 0 -2 0 -24 -33 0 0 0 5 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
18 18 54 48 15 40 -24 -18 -42 -48 0 30 -35 54 45 0 -30 -45 -15 42 8 -30 -36 -5 0 -42 -35 54 24 -42 -15 28 0 0 30 -40 30 -16 -54 -28 -45 30 -35 -45 12 0 0 -12 0 0 25 0 12 0 -24 -20 0 -24 24 0 0 -27 0 6 4 0 0 20 -8 0 -8 0 0 0 0 -6 -15 -6 0 6 16 -25 0 35 16 0 -27 0 0 0 0 -10 -15 0 0 0 -27 9 0 -4 -14 15 0 0 0 0 0 0 0 0 0 12 9 7 0 0 0 -32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
21 21 63 56 18 48 -28 -21 -49 -56 0 36 -42 63 54 30 -36 -54 -18 49 10 -36 -45 -6 6 -49 0 0 30 -49 0 35 -35 0 35 -48 0 -20 -63 -35 -54 36 0 -54 0 0 0 -15 0 0 30 -8 15 0 -30 0 -40 0 28 0 -21 -36 0 8 6 -28 7 0 -10 0 0 0 0 0 -32 0 -20 0 -2 0 20 -30 0 42 0 0 0 0 0 0 0 0 0 0 -16 0 0 18 -28 0 -21 7 -12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 -29 0 -4 0 0 0 0 0 0 4 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
24 24 72 64 21 56 -32 -24 -56 -64 0 42 -49 72 63 35 -42 -63 -21 56 0 0 -54 -7 7 -56 -42 0 36 -56 -18 42 -42 0 40 -56 36 -24 -72 0 0 42 -42 0 14 0 -30 -18 16 0 0 -10 18 -5 -36 0 0 -32 0 0 0 -45 0 10 0 -35 0 0 0 0 0 0 -24 -16 -40 0 0 -9 0 12 0 -35 0 0 0 0 0 -8 8 27 0 0 -20 0 -20 0 -36 0 -35 0 0 0 -16 0 0 0 -5 0 0 0 0 0 0 0 0 0 24 0 0 0 0 0 0 0 0 0 6 0 0 0 -30 -33 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
27 27 81 72 24 64 -36 -27 -63 -72 0 48 -56 81 72 40 -48 -72 -24 63 12 0 -63 -8 8 -63 -49 63 42 -63 -21 49 -49 0 45 -64 42 -28 -81 -42 -63 48 -49 -63 16 -32 -36 0 0 12 35 0 21 -6 0 -25 0 -40 32 0 0 -54 0 12 0 0 0 25 0 0 0 0 0 -24 -48 -8 0 -12 0 0 24 0 0 49 0 0 -36 -12 0 0 0 0 -25 0 0 0 -45 27 0 0 -28 0 -20 0 9 -14 -10 0 0 0 0 0 0 0 -24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 47 0 0 0 0 0 0 0 0
