1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50
-36 1 -15 -4 2 17 -11 -11 -1 40 24 -1 -1 -43 47 28 -1 47 -1 -3 -19 37 -39 -1 25 -1 2 6 31 -1 -1 -5 -1 -1 -1 -1 -1 -1 -1 -1 16 -1 4 -1 -42 -1 -1 -1 -1 -1
-7 7 -2 -3 2 0 -1 -6 25 2 -1 15 24 -4 -1 6 -10 -1 37 -7 -3 -1 -1 -1 -1 -1 -1 5 8 11 29 -8 -1 -1 -1 -1 -1 -1 -1 26 3 -1 -1 -1 -8 -1 -1 -1 -1 -1
-14 14 -4 -6 4 0 -4 -12 5 4 4 4 -1 -8 1 -1 -1 0 -1 -14 -1 8 -9 25 0 -1 3 10 16 -1 5 -1 -19 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-21 21 -6 -9 6 0 -8 -1 10 6 8 8 0 -12 2 12 -7 0 2 -1 -6 16 -1 -1 0 -1 6 15 24 -1 -1 -1 -1 -5 -1 -35 -1 -1 -1 -1 -1 -21 9 -1 -1 10 30 -1 -1 -1
-28 28 -8 -12 8 0 -12 -18 15 8 12 12 -1 -16 3 18 -1 -1 -1 -1 -9 -1 -18 -1 -1 -1 -1 -1 -1 -1 -1 -1 -6 -1 -1 -1 -1 -1 -1 1 6 -1 18 -1 -16 6 1 -1 -1 -1
-35 35 -10 -15 10 0 -1 -24 20 10 -1 16 -1 -20 4 24 -14 0 -1 -1 -1 24 -27 8 -1 -1 9 -1 32 0 -1 -1 -1 -1 -1 -1 47 -1 3 -1 -1 -1 -1 49 -1 -1 -1 -1 -1 -1
-42 42 -1 -18 12 0 -16 -30 25 12 16 20 0 -24 5 30 -21 0 4 -1 -1 -1 -36 -1 0 -8 -1 -1 -1 0 -1 -16 -1 -5 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-49 49 -12 -21 14 0 -20 -36 30 14 20 24 -1 -28 6 36 -28 -1 6 -1 -12 32 -1 -1 0 -1 -1 20 -1 -1 10 -1 -12 -1 -1 -1 -1 -1 3 -1 -1 -1 -1 -1 -24 12 -1 -1 -1 -1
-56 56 -14 -24 16 0 -1 -42 35 16 24 28 0 -1 7 42 -1 -1 8 -21 -15 -1 -45 -1 -1 -16 -1 25 -1 0 15 -1 -1 -1 6 -1 7 -1 -1 -1 -1 -7 -1 -1 -1 -1 -1 -1 -1 -1
-63 63 -16 -27 18 0 -1 -48 40 18 28 32 0 -32 8 -1 -35 0 10 -28 -1 40 -1 16 -1 -24 12 30 -1 -1 20 -1 -1 -1 -1 -1 -1 -1 -1 2 -1 -14 -1 -1 -1 -1 -1 -1 -1 -1
