1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50
-36 1 -15 -4 2 17 -11 -11 0 40 24 0 0 -43 47 28 0 47 0 -3 -19 37 -39 0 25 0 2 6 31 0 0 -5 0 0 0 0 0 0 0 0 16 0 4 0 -42 0 0 0 0 0
-7 7 -2 -3 2 0 0 -6 25 2 0 15 24 -4 0 6 -10 0 37 -7 -3 0 0 0 0 0 0 5 8 11 29 -8 0 0 0 0 0 0 0 26 3 0 0 0 -8 0 0 0 0 0
-14 14 -4 -6 4 0 -4 -12 5 4 4 4 0 -8 1 0 0 0 0 -14 0 8 -9 25 0 0 3 10 16 0 5 0 -19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-21 21 -6 -9 6 0 -8 0 10 6 8 8 0 -12 2 12 -7 0 2 0 -6 16 0 0 0 0 6 15 24 0 0 0 0 -5 0 -35 0 0 0 0 0 -21 9 0 0 10 30 0 0 0
-28 28 -8 -12 8 0 -12 -18 15 8 12 12 0 -16 3 18 0 0 0 0 -9 0 -18 0 0 0 0 0 0 0 0 0 -6 0 0 0 0 0 0 1 6 0 18 0 -16 6 1 0 0 0
-35 35 -10 -15 10 0 0 -24 20 10 0 16 0 -20 4 24 -14 0 0 0 0 24 -27 8 0 0 9 0 32 0 0 0 0 0 0 0 47 0 3 0 0 0 0 49 0 0 0 0 0 0
-42 42 0 -18 12 0 -16 -30 25 12 16 20 0 -24 5 30 -21 0 4 0 0 0 -36 0 0 -8 0 0 0 0 0 -16 0 -5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-49 49 -12 -21 14 0 -20 -36 30 14 20 24 0 -28 6 36 -28 0 6 0 -12 32 0 0 0 0 0 20 0 0 10 0 -12 0 0 0 0 0 3 0 0 0 0 0 -24 12 0 0 0 0
-56 56 -14 -24 16 0 0 -42 35 16 24 28 0 0 7 42 0 0 8 -21 -15 0 -45 0 0 -16 0 25 0 0 15 0 0 0 6 0 7 0 0 0 0 -7 0 0 0 0 0 0 0 0
-63 63 -16 -27 18 0 0 -48 40 18 28 32 0 -32 8 0 -35 0 10 -28 0 40 0 16 0 -24 12 30 0 0 20 0 0 0 0 0 0 0 0 2 0 -14 0 0 0 0 0 0 0 0
-70 70 -18 -30 20 0 -24 -54 45 0 32 36 0 -36 9 48 0 0 12 -35 -18 48 0 24 0 0 0 35 40 0 0 -24 0 0 0 0 14 0 6 0 0 0 0 0 0 0 0 0 0 0
-77 77 -20 -33 22 0 -28 0 50 0 0 0 0 -40 10 0 -42 0 14 -42 -21 56 0 32 0 0 15 40 0 0 0 0 0 0 0 0 21 0 9 0 0 0 0 0 0 0 0 0 0 0
-84 84 -22 -36 24 0 -32 0 55 20 36 40 0 -44 11 54 -49 0 16 -49 0 64 0 0 0 -32 0 45 0 0 0 -32 -18 0 0 -3 0 -9 0 0 0 0 0 0 -32 0 0 0 0 0
-91 91 -24 -39 26 0 -36 -60 60 22 40 44 0 -48 12 60 -56 0 18 -56 0 0 0 0 0 -40 18 0 0 0 0 0 -24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-98 98 -26 0 28 0 0 -66 65 0 44 48 0 0 0 66 -63 0 0 -63 0 0 -54 40 0 -48 0 50 48 0 25 -40 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-105 105 -28 -42 30 0 -40 -72 70 24 48 52 0 -52 13 0 -70 0 0 -70 -24 0 -63 0 0 -56 21 0 0 0 0 0 -30 0 0 -6 0 0 12 0 0 0 0 7 0 0 0 0 0 0
-112 112 -30 -45 32 0 -44 -78 75 26 52 56 0 -56 14 72 -77 0 20 -77 -27 0 0 48 0 0 24 0 0 0 30 0 0 0 0 0 0 0 0 0 0 0 27 0 0 0 0 0 0 0
-119 119 -32 -48 34 0 -48 -84 80 28 56 60 0 -60 15 78 0 0 0 0 0 72 -72 56 0 -64 27 55 0 0 35 -48 0 0 0 0 28 0 0 0 0 0 0 0 0 0 0 0 0 0
-126 126 -34 -51 36 0 -52 -90 85 0 60 64 0 0 16 84 0 0 22 -84 -30 80 -81 64 0 -72 30 0 0 0 40 0 -36 0 0 -9 35 0 15 0 0 0 0 14 0 18 0 0 0 0
-133 133 -36 -54 38 0 -56 -96 90 30 64 68 0 -64 0 0 0 0 24 -91 -33 0 -90 72 0 0 0 0 56 0 0 0 -42 0 16 -12 42 0 0 0 0 0 0 0 -40 0 0 0 0 0
-140 140 -38 -57 40 0 -60 -102 95 32 68 72 0 -68 17 0 -84 0 26 0 0 0 0 80 0 -80 33 60 64 0 45 0 0 -10 0 -15 49 0 0 0 9 0 36 21 0 0 0 0 0 0
-147 147 -40 -60 42 0 -64 0 100 34 0 0 0 -72 18 90 -91 0 28 0 -36 88 -99 0 0 -88 0 0 72 0 50 0 -48 0 0 -18 0 0 0 0 0 -21 0 0 0 0 0 0 0 0
-154 154 -42 -63 44 0 -68 -108 105 36 72 76 0 -76 19 0 -98 0 30 0 -39 0 -108 88 0 -96 36 0 0 0 0 0 -54 0 24 -21 56 0 0 0 0 -28 0 0 -48 0 0 0 0 0
-161 161 -44 -66 46 0 -72 -114 110 38 76 80 0 -80 20 96 -105 0 0 0 -42 0 0 0 0 0 0 0 0 0 55 -56 -60 0 0 0 0 0 18 0 0 0 45 28 0 0 0 0 0 0
-168 168 -46 -69 48 0 -76 -120 115 40 80 0 0 -84 21 102 -112 0 32 -98 0 0 -117 96 0 -104 39 65 0 0 60 0 0 0 32 0 63 0 21 0 0 0 0 0 0 0 0 0 0 0
-175 175 -48 -72 50 0 0 -126 120 42 84 84 0 -88 22 108 0 0 0 -105 -45 0 -126 104 0 -112 42 0 0 0 0 0 -66 0 0 0 0 -18 0 0 0 0 54 0 0 0 0 0 0 0
-182 182 -50 -75 52 0 -80 -132 125 0 0 88 0 -92 0 114 -119 0 0 -112 -48 96 0 112 0 0 45 0 80 0 0 0 -72 0 0 0 0 0 0 0 0 -35 0 0 0 0 2 0 0 0
-189 189 -52 -78 54 0 -84 -138 130 44 88 92 0 -96 0 0 -126 0 34 -119 -51 0 0 120 0 0 0 0 0 0 0 0 0 0 0 -24 0 0 0 3 0 0 0 35 -56 0 0 0 0 0
-196 196 -54 -81 56 0 -88 -144 135 46 92 96 0 -100 23 120 0 0 36 -126 -54 104 0 128 0 -120 48 0 88 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-203 203 -56 -84 58 0 -92 -150 140 48 96 100 0 -104 24 0 -133 0 38 -133 0 0 0 136 0 0 51 0 96 0 65 0 0 0 0 0 70 -27 0 0 0 0 0 0 0 0 0 0 0 20
-210 210 -58 -87 0 0 -96 -156 145 50 100 0 0 -108 25 126 -140 0 40 0 0 112 0 144 0 -128 0 0 104 0 0 0 -78 0 0 0 0 0 0 0 0 0 0 42 -64 0 0 0 0 0
-217 217 -60 -90 0 0 -100 0 150 52 104 104 0 -112 26 132 0 0 0 -140 -57 0 -135 0 0 -136 0 0 112 0 0 0 0 -15 0 0 77 0 0 0 0 -42 0 0 0 24 0 0 0 0
-224 224 -62 -93 60 0 -104 -162 155 0 108 108 0 -116 27 138 -147 0 42 -147 0 120 -144 0 0 0 0 0 0 0 0 0 0 -20 0 0 0 0 0 0 0 0 63 0 0 0 0 0 0 0
-231 231 -64 -96 62 0 -108 -168 0 54 112 112 0 -120 28 144 -154 0 44 -154 -60 128 0 0 0 -144 54 70 120 0 0 -64 -84 -25 0 0 84 0 0 4 0 0 0 0 0 0 0 13 0 0
