1 2 3 4 5 6 7 8 9 10
1 76 4 96 0 42 0 0 45 51
5 0 48 25 72 85 36 0 75 0
8 0 13 0 0 0 93 0 66 83
79 0 75 0 31 0 83 0 14 0
1 21 36 70 42 97 0 0 18 18
63 0 0 86 77 0 19 0 43 15
57 97 18 54 23 0 63 0 2 49
80 82 86 91 0 81 96 0 50 0
75 91 70 94 38 26 0 0 38 81
19 79 30 43 62 7 40 0 76 9
96 48 27 0 4 45 0 0 56 0
9 85 68 36 38 12 67 0 63 28
3 0 69 53 2 32 0 0 18 91
21 10 0 0 71 0 89 0 52 29
10 50 9 23 65 77 93 0 2 58
31 34 0 0 23 0 0 0 10 0
15 28 27 1 0 20 12 0 11 21
19 41 36 0 13 36 0 50 59 80
67 48 6 54 86 20 0 0 34 53
2 84 93 0 46 93 0 0 17 0
60 73 87 83 0 68 78 0 77 53
31 24 2 0 44 29 74 0 23 6
91 89 30 52 50 7 0 0 95 0
10 43 62 0 22 89 0 0 23 42
78 43 96 0 63 3 0 0 98 0
30 33 74 43 15 11 0 82 20 0
63 59 50 0 24 95 82 0 35 43
7 26 35 0 0 52 0 0 39 41
18 50 52 46 25 16 40 0 98 0
0 36 82 91 34 0 63 0 78 0
97 2 1 67 78 25 0 0 9 2
57 92 0 66 33 47 81 0 78 0
95 0 59 0 93 79 0 0 41 0
29 53 54 47 92 94 43 0 66 42
1 81 97 18 64 0 96 0 23 0
16 33 85 36 75 0 79 0 12 71
46 24 74 97 21 59 81 0 54 28
80 80 38 72 85 0 91 0 97 0
12 7 89 74 84 92 0 0 87 0
9 99 96 0 11 64 39 88 29 97
52 73 64 0 0 80 53 0 45 0
73 73 3 0 44 59 24 0 0 0
86 78 41 30 59 9 91 0 36 72
24 0 33 0 93 9 98 0 89 89
17 32 98 85 0 17 0 0 30 0
32 76 0 0 63 0 0 0 62 31
32 11 0 0 0 0 0 0 82 83
61 33 35 0 69 0 0 0 78 64
52 87 0 71 17 0 0 0 11 0
36 60 99 90 0 36 0 0 29 0
76 0 34 0 66 23 86 0 81 35
0 96 42 0 0 92 29 0 52 74
82 24 17 49 59 15 0 0 81 0
91 3 42 0 0 45 80 0 27 41
91 61 49 0 0 55 26 0 46 0
50 0 99 0 24 15 21 0 19 0
4 60 50 18 8 54 66 0 49 0
52 0 18 22 0 21 96 0 5 0
57 66 6 91 6 11 18 0 30 0
78 51 95 65 20 96 2 0 52 6
82 1 69 0 0 0 0 0 1 57
38 27 89 70 87 99 0 0 2 0
24 30 19 0 9 26 0 0 67 0
47 0 31 0 16 0 0 0 91 0
34 10 0 0 0 0 0 0 26 16
0 29 26 0 85 74 0 0 24 0
50 83 60 79 93 85 0 0 61 19
42 35 68 0 83 64 36 0 11 88
33 44 62 0 95 79 0 0 87 0
35 19 0 0 91 67 0 0 99 40
0 0 19 0 0 9 0 0 2 0
79 46 38 4 79 0 33 64 27 0
30 51 2 56 96 22 96 0 6 41
85 42 3 81 53 23 0 0 4 0
30 5 84 28 4 99 82 0 10 70
51 34 0 0 41 19 0 0 96 0
0 48 0 85 86 0 0 28 84 0
70 15 22 93 37 0 89 0 43 0
22 0 99 0 84 60 44 0 16 0
76 37 13 97 18 51 64 0 18 99
6 44 40 0 0 0 76 0 31 58
15 23 68 1 54 25 65 0 53 0
4 55 83 0 3 0 80 36 37 94
72 60 0 0 48 3 27 0 5 0
5 97 48 0 15 0 0 0 13 0
3 19 90 0 84 0 84 0 78 29
93 38 37 0 32 96 86 0 56 91
45 16 96 62 11 66 0 0 57 0
54 30 56 0 60 23 77 0 0 0
60 56 61 0 44 11 0 0 56 0
31 80 90 0 88 64 3 0 9 82
78 12 40 0 14 95 0 0 43 0
32 0 24 95 0 35 34 0 29 0
0 0 0 0 44 31 39 0 55 33
56 60 0 0 0 62 0 0 65 0
72 56 19 33 0 0 0 0 50 0
2 0 0 0 0 0 31 0 5 28
98 63 6 18 25 0 0 67 6 0
7 47 44 65 0 24 46 0 6 8
