1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
1 76 4 96 0 42 0 0 45 51 44 0 0 0 0 0 0 59 0 58 45 0 0 0 84 0 2 57 0 0
5 0 48 25 72 85 36 0 75 0 64 0 70 0 0 37 0 0 22 23 70 0 77 57 1 0 0 33 90 78
8 0 13 0 0 0 93 0 66 83 2 0 0 82 0 99 0 1 0 74 34 0 53 89 0 0 42 97 0 24
79 0 75 0 31 0 83 0 14 0 67 0 0 0 0 77 0 50 73 66 15 0 0 0 0 0 0 93 0 72
1 21 36 70 42 97 0 0 18 18 30 77 0 27 0 27 0 0 50 67 67 0 20 31 0 0 5 74 0 51
63 0 0 86 77 0 19 0 43 15 0 0 34 0 0 78 0 0 0 63 90 0 0 0 0 0 0 0 0 10
57 97 18 54 23 0 63 0 2 49 11 40 0 68 0 89 15 0 0 54 36 0 56 73 0 0 0 44 28 7
80 82 86 91 0 81 96 0 50 0 78 0 0 0 0 42 0 36 0 77 13 0 4 94 1 0 4 17 0 0
75 91 70 94 38 26 0 0 38 81 95 98 91 43 0 5 0 76 34 78 77 0 21 96 50 0 46 0 57 30
19 79 30 43 62 7 40 0 76 9 24 63 0 23 0 23 0 89 81 73 23 0 72 24 90 0 58 0 49 55
96 48 27 0 4 45 0 0 56 0 39 0 0 0 0 0 0 86 10 21 0 0 14 96 85 0 30 58 65 68
9 85 68 36 38 12 67 0 63 28 84 0 0 0 18 20 0 26 74 19 32 0 45 5 99 0 56 84 32 17
3 0 69 53 2 32 0 0 18 91 9 0 0 0 0 39 0 0 19 30 18 0 24 33 1 0 2 0 0 83
21 10 0 0 71 0 89 0 52 29 32 0 0 2 0 44 0 21 32 31 0 0 58 66 0 0 2 37 0 90
10 50 9 23 65 77 93 0 2 58 79 0 74 0 0 70 0 0 85 39 14 0 88 19 88 0 0 12 0 24
31 34 0 0 23 0 0 0 10 0 52 86 0 99 0 85 0 49 74 18 37 0 45 73 39 0 26 19 36 0
